raceID,name,year,winner,round_count,round_elected,round_eliminated,round_01_vote,round_02_vote,round_03_vote,round_04_vote,round_05_vote,round_06_vote,round_07_vote,round_08_vote,round_09_vote,round_10_vote,round_11_vote,round_12_vote,round_13_vote,round_14_vote,round_15_vote
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Julie Won,2021,True,15,15.0,,3306,3311,3325,3345,3432,3529,3621,3697,3918,4396,4605,4827,5241,6014,6822
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Amit S. Bagga,2021,False,15,,15.0,3138,3138,3161,3179,3245,3369,3426,3500,3681,3816,4088,4189,4373,4699,5211
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Brent O'Leary,2021,False,15,,14.0,1747,1751,1762,1783,1856,1898,1983,2031,2115,2186,2261,2597,2803,3150,
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Julia L. Forman,2021,False,15,,13.0,1513,1517,1531,1560,1588,1646,1737,1824,1951,2081,2214,2416,2705,,
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Denise M. Keehan-Smith,2021,False,15,,11.0,1225,1227,1232,1239,1273,1290,1342,1390,1419,1472,1533,,,,
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Ebony R. Young,2021,False,15,,12.0,1145,1146,1155,1180,1213,1248,1286,1365,1448,1531,1641,1807,,,
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Badrun Khan,2021,False,15,,10.0,1038,1039,1166,1176,1195,1214,1231,1254,1286,1340,,,,,
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Hailie Kim,2021,False,15,,9.0,912,913,921,927,948,991,1046,1076,1166,,,,,,
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Jonathan Bailey,2021,False,15,,8.0,801,801,806,836,869,906,955,1002,,,,,,,
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Emily E. Sharpe,2021,False,15,,6.0,624,627,631,634,650,679,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Glennis E. Gomez,2021,False,15,,7.0,622,624,627,678,699,713,733,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Jesse Laymon,2021,False,15,,5.0,570,570,579,591,609,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Steven B. Raga,2021,False,15,,4.0,546,547,556,570,,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Lorenzo Brea,2021,False,15,,3.0,366,366,368,,,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Sultan Al Maruf,2021,False,15,,2.0,294,295,,,,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Write-ins,2021,False,15,,1.0,46,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember26thCouncilDistrict,Inactive ballots,2021,False,15,,,0,21,73,195,316,410,533,754,909,1071,1551,2057,2771,4030,5860
NewYorkCity_20210622_DEMCouncilMember27thCouncilDistrict,Nantasha M. Williams,2021,True,12,10.0,,7345,7351,7386,7477,7558,7681,7972,8380,8938,9518,10424,11810,,,
NewYorkCity_20210622_DEMCouncilMember27thCouncilDistrict,James J. Johnson,2021,False,12,,10.0,2310,2313,2324,2377,2430,2520,2682,2821,3062,3410,3759,4387,,,
NewYorkCity_20210622_DEMCouncilMember27thCouncilDistrict,Rene A. Hill,2021,False,12,,10.0,2017,2018,2039,2070,2101,2192,2309,2501,2758,3040,3391,,,,
NewYorkCity_20210622_DEMCouncilMember27thCouncilDistrict,Al-Hassan Kanu,2021,False,12,,9.0,1662,1662,1665,1680,1702,1726,1817,1896,2008,,,,,,
NewYorkCity_20210622_DEMCouncilMember27thCouncilDistrict,Jason Myles Clark,2021,False,12,,10.0,1589,1591,1615,1643,1680,1746,1859,1960,2097,2257,,,,,
NewYorkCity_20210622_DEMCouncilMember27thCouncilDistrict,Marie M. Adam-Ovide,2021,False,12,,8.0,1497,1499,1517,1540,1563,1606,1691,1851,,,,,,,
NewYorkCity_20210622_DEMCouncilMember27thCouncilDistrict,Kerryanne C. Burke,2021,False,12,,7.0,1150,1153,1156,1181,1206,1249,1318,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember27thCouncilDistrict,Harold C. Miller Jr.,2021,False,12,,6.0,1073,1075,1081,1092,1135,1205,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember27thCouncilDistrict,Anthony Rivers,2021,False,12,,5.0,651,654,667,690,715,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember27thCouncilDistrict,Leroy Gadsden,2021,False,12,,4.0,434,434,437,451,,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember27thCouncilDistrict,Jermaine Sean Smith,2021,False,12,,3.0,408,409,423,,,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember27thCouncilDistrict,Linda Guillebeaux,2021,False,12,,2.0,200,200,,,,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember27thCouncilDistrict,Write-ins,2021,False,12,,1.0,42,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember27thCouncilDistrict,Inactive ballots,2021,False,12,,,0,19,68,177,288,453,730,969,1515,2153,2804,4181,,,
NewYorkCity_20210622_DEMCouncilMember7thCouncilDistrict,Shaun Abreu,2021,True,12,11.0,,6214,6219,6249,6316,6410,6460,6644,6813,7436,8092,9215,10491,,,
NewYorkCity_20210622_DEMCouncilMember7thCouncilDistrict,Marti Gould Allen-Cummings,2021,False,12,,9.0,2673,2675,2696,2720,2735,2744,2813,2904,2973,,,,,,
NewYorkCity_20210622_DEMCouncilMember7thCouncilDistrict,Maria Ordonez,2021,False,12,,11.0,2600,2607,2694,2742,2853,2942,3239,3344,3645,4522,5016,6165,,,
NewYorkCity_20210622_DEMCouncilMember7thCouncilDistrict,Daniel M. Cohen,2021,False,12,,10.0,2576,2582,2599,2645,2679,2693,2788,2916,2991,3393,,,,,
NewYorkCity_20210622_DEMCouncilMember7thCouncilDistrict,Stacy R. Lynch,2021,False,12,,11.0,2397,2404,2436,2478,2548,2649,2766,3047,3164,3537,4180,,,,
NewYorkCity_20210622_DEMCouncilMember7thCouncilDistrict,Luis Tejada,2021,False,12,,8.0,2147,2149,2173,2199,2297,2392,2515,2605,,,,,,,
NewYorkCity_20210622_DEMCouncilMember7thCouncilDistrict,Keith L. Harris,2021,False,12,,7.0,1142,1146,1159,1192,1240,1285,1375,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember7thCouncilDistrict,Corey Ortega,2021,False,12,,6.0,956,958,976,1012,1064,1283,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember7thCouncilDistrict,Miguel Estrella,2021,False,12,,5.0,785,788,798,824,860,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember7thCouncilDistrict,Carmen R. Quinones,2021,False,12,,4.0,743,747,785,818,,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember7thCouncilDistrict,Raymond Sanchez Jr.,2021,False,12,,3.0,492,493,502,,,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember7thCouncilDistrict,Lena Melendez,2021,False,12,,2.0,391,392,,,,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember7thCouncilDistrict,Write-ins,2021,False,12,,1.0,73,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMCouncilMember7thCouncilDistrict,Inactive ballots,2021,False,12,,,0,29,122,243,503,741,1049,1560,2980,3645,4778,6533,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,Antonio Reynoso,2021,True,11,11.0,,80867,80890,81160,81563,82191,82761,83568,86484,89465,96444,107963,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,Robert E. Cornegy Jr.,2021,False,11,,10.0,55285,55312,55639,55916,56496,56862,57836,58972,61880,70173,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,Jo Anne Simon,2021,False,11,,11.0,51732,51756,52006,52554,53618,55442,56570,57826,62110,71789,88794,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,Mathieu Eugene,2021,False,11,,9.0,23153,23165,23364,23571,23873,24325,24966,25858,27175,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,Khari O. Edwards,2021,False,11,,9.0,18150,18162,18572,19002,19348,20317,21533,22407,25211,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,Kim Council,2021,False,11,,8.0,16129,16147,16411,17391,17903,19193,20050,20959,,,,,,,
